[2024-08-04T21:08:44.202+0300][0.005s][info][gc] Using G1
[2024-08-04T21:08:44.203+0300][0.006s][debug][gc] ConcGCThreads: 3 offset 22
[2024-08-04T21:08:44.203+0300][0.006s][debug][gc] ParallelGCThreads: 10
[2024-08-04T21:08:44.203+0300][0.007s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2024-08-04T21:08:47.762+0300][3,566s][info ][gc] GC(133) Pause Young (Normal) (G1 Evacuation Pause) 216M->157M(256M) 14,645ms
[2024-08-04T21:08:47.779+0300][3,582s][info ][gc] GC(131) Pause Cleanup 197M->197M(256M) 0,164ms
[2024-08-04T21:08:47.779+0300][3,583s][info ][gc] GC(131) Concurrent Mark Cycle 130,133ms
[2024-08-04T21:08:47.802+0300][3,606s][info ][gc] GC(134) Pause Young (Prepare Mixed) (G1 Evacuation Pause) 222M->171M(256M) 13,416ms
[2024-08-04T21:08:47.836+0300][3,640s][info ][gc] GC(135) Pause Young (Mixed) (G1 Evacuation Pause) 226M->184M(256M) 11,714ms
[2024-08-04T21:08:47.867+0300][3,671s][info ][gc] GC(136) Pause Young (Concurrent Start) (G1 Evacuation Pause) 230M->194M(256M) 12,445ms
[2024-08-04T21:08:47.867+0300][3,671s][info ][gc] GC(137) Concurrent Mark Cycle
[2024-08-04T21:08:47.896+0300][3,700s][info ][gc] GC(138) Pause Young (Normal) (G1 Evacuation Pause) 232M->203M(256M) 10,301ms
[2024-08-04T21:08:47.920+0300][3,723s][info ][gc] GC(139) Pause Young (Normal) (G1 Evacuation Pause) 233M->210M(256M) 8,691ms
[2024-08-04T21:08:47.937+0300][3,741s][info ][gc] GC(140) Pause Young (Normal) (G1 Evacuation Pause) 234M->216M(256M) 5,326ms
[2024-08-04T21:08:47.951+0300][3,755s][info ][gc] GC(141) Pause Young (Normal) (G1 Evacuation Pause) 235M->221M(256M) 4,929ms
[2024-08-04T21:08:47.963+0300][3,766s][info ][gc] GC(142) Pause Young (Normal) (G1 Evacuation Pause) 236M->224M(256M) 4,016ms
[2024-08-04T21:08:47.972+0300][3,776s][info ][gc] GC(143) Pause Young (Normal) (G1 Evacuation Pause) 236M->227M(256M) 3,465ms
[2024-08-04T21:08:47.980+0300][3,784s][info ][gc] GC(144) Pause Young (Normal) (G1 Evacuation Pause) 237M->229M(256M) 2,869ms
[2024-08-04T21:08:47.988+0300][3,792s][info ][gc] GC(145) Pause Young (Normal) (G1 Evacuation Pause) 239M->232M(256M) 2,798ms
[2024-08-04T21:08:47.997+0300][3,800s][info ][gc] GC(146) Pause Young (Normal) (G1 Evacuation Pause) 242M->234M(256M) 3,085ms
[2024-08-04T21:08:48.005+0300][3,809s][info ][gc] GC(147) Pause Young (Normal) (G1 Evacuation Pause) 244M->236M(256M) 2,917ms
[2024-08-04T21:08:48.013+0300][3,817s][info ][gc] GC(148) Pause Young (Normal) (G1 Evacuation Pause) 246M->238M(256M) 2,986ms
[2024-08-04T21:08:48.021+0300][3,825s][info ][gc] GC(149) Pause Young (Normal) (G1 Evacuation Pause) 248M->241M(256M) 2,829ms
